Município;;2009;Pop.;2010;Pop.;2011;Pop.;2012;Pop.;2013;Pop.;2014;Pop.;2015;Pop.;2016;Pop.;2017;Pop.;2018;Pop.;Total
AREALVA;3503406;2;7.886;1;7842;2;7.887;-;7.932;3;8.245;-;8.299;3;8.351;-;8.402;-; 8.452 ;-;8.505;11
AREIAS;3503505;-;3.690;-;3693;-;3.703;-;3.711;1;3.839;1;3.849;1;3.859;2;3.869;1; 3.879 ;1;3.876;7
AREIÓPOLIS;3503604;-;11.157;1;10581;4;10.601;1;10.622;1;10.989;3;11.020;1;11.049;2;11.078;-; 11.107 ;4;11.099;17
ARIRANHA;3503703;1;8.876;-;8547;-;8.629;-;8.709;1;9.095;1;9.187;1;9.277;-;9.365;-; 9.451 ;1;9.573;5
ARTUR NOGUEIRA;3503802;6;43.499;6;44270;8;45.025;4;45.847;6;48.420;10;49.346;8;50.246;6;51.126;4; 51.986 ;12;53.450;70
ARUJÁ;3503901;27;80.922;23;74818;17;76.112;28;77.279;26;81.326;18;82.651;16;83.939;27;85.199;21; 86.430 ;29;88.455;232
ASPÁSIA;3503950;-;1.826;-;1809;-;1.805;-;1.802;-;1.854;-;1.851;-;1.848;1;1.845;-; 1.842 ;-;1.825;1
ASSIS;3504008;33;98.715;31;95156;37;95.750;26;96.336;46;100.204;50;100.911;44;101.597;40;102.268;26; 102.924 ;37;103.666;370
ATIBAIA;3504107;38;126.757;31;126614;35;127.778;31;128.914;19;134.567;26;135.895;40;137.187;31;138.449;50; 139.683 ;45;141.398;346
AURIFLAMA;3504206;3;14.366;-;14205;2;14.255;2;14.307;3;14.831;1;14.897;2;14.961;2;15.024;3; 15.085 ;3;15.123;21
AVAÍ;3504305;1;5.170;1;4959;2;4.987;2;5.014;-;5.210;1;5.243;-;5.275;-;5.306;-; 5.337 ;-;5.369;7
AVANHANDAVA;3504404;18;12.112;11;11311;14;11.500;25;11.685;22;12.307;12;12.516;21;12.719;14;12.918;25; 13.112 ;17;13.433;179
AVARÉ;3504503;25;84.416;29;82935;30;83.430;35;83.910;30;87.238;27;87.820;22;88.385;26;88.938;21; 89.479 ;26;90.063;271
BADY BASSITT;3504602;1;14.127;4;14605;3;14.837;5;15.065;2;15.851;1;16.109;11;16.359;6;16.604;5; 16.843 ;8;17.236;46
BALBINOS;3504701;32;4.697;21;3932;33;3.885;25;4.063;39;4.433;43;4.629;47;4.819;57;5.006;74; 5.188 ;58;5.532;429
BÁLSAMO;3504800;2;8.227;1;8160;3;8.223;1;8.284;4;8.631;1;8.703;-;8.773;1;8.841;1; 8.908 ;1;8.994;15
BANANAL;3504909;9;10.822;2;10220;1;10.262;-;10.301;1;10.680;4;10.728;5;10.775;10;10.821;5; 10.867 ;19;10.896;56
BARÃO DE ANTONINA;3505005;2;2.835;1;3116;-;3.141;-;3.165;1;3.297;-;3.326;-;3.353;-;3.380;-; 3.406 ;1;3.441;5
BARBOSA;3505104;1;6.944;1;6593;4;6.651;2;6.708;3;6.998;5;7.064;2;7.128;-;7.190;-; 7.251 ;-;7.335;18
BARIRI;3505203;4;33.267;3;31603;3;31.852;4;32.102;4;33.466;4;33.761;5;34.048;4;34.328;3; 34.602 ;4;34.961;38
BARRA BONITA;3505302;8;5.358;7;35256;9;35.228;9;35.210;8;36.310;12;36.315;6;36.321;-;36.326;7; 36.331 ;7;36.127;73
BARRA DO CHAPÉU;3505351;-;7.699;-;5236;-;5.275;-;5.305;-;5.514;1;5.550;-;5.585;-;5.619;-; 5.653 ;-;5.688;1
BARRA DO TURVO;3505401;2;36.214;4;7729;-;7.700;2;7.672;-;7.878;2;7.853;-;7.828;2;7.804;3; 7.781 ;2;7.687;17
BARRETOS;3505500;37;113.618;38;112102;42;112.729;27;113.338;52;117.779;28;118.521;26;119.243;34;119.948;26; 120.638 ;30;121.344;340
BARRINHA;3505609;9;27.169;5;28503;8;28.825;7;29.144;12;30.506;5;30.873;15;31.230;6;31.579;13; 31.921 ;15;32.434;95
BARUERI;3505708;100;270.173;120;240656;127;243.241;104;245.652;128;256.756;119;259.555;123;262.275;121;264.935;126; 267.534 ;110;271.306;1178
BASTOS;3505807;5;21.380;1;20461;3;20.434;2;20.424;2;21.061;2;21.064;1;21.067;5;21.070;4; 21.073 ;4;20.954;29
BATATAIS;3505906;5;56.476;5;56481;7;56.888;9;57.286;6;59.654;3;60.128;9;60.589;3;61.040;7; 61.480 ;14;62.024;68
BAURU;3506003;143;359.429;163;344039;182;346.076;177;348.146;256;362.062;222;364.562;232;366.992;235;369.368;263; 371.690 ;252;374.272;2125
BEBEDOURO;3506102;26;77.630;12;75044;20;75.052;22;75.069;15;77.487;19;77.558;18;77.627;30;77.695;28; 77.761 ;25;77.436;215
BENTO DE ABREU;3506201;-;2.982;1;2674;1;2.695;-;2.717;2;2.831;-;2.855;-;2.879;1;2.902;-; 2.925 ;-;2.955;5
BERNARDINO DE CAMPOS;3506300;4;10.776;3;10777;2;10.779;2;10.784;2;11.133;15;11.146;13;11.157;24;11.169;28; 11.180 ;15;11.137;108
BERTIOGA;3506359;25;44.233;32;47572;35;48.996;36;50.304;29;53.679;35;55.138;55;56.555;50;57.942;47; 59.297 ;53;61.736;397
BILAC;3506409;-;7.494;-;7052;1;7.122;1;7.193;3;7.519;-;7.602;-;7.682;1;7.761;-; 7.837 ;-;7.949;6
BIRIGÜI;3506508;16;110.911;27;108722;29;109.835;28;110.907;17;115.898;28;117.143;17;118.352;16;119.536;25; 120.692 ;25;122.359;228
BIRITIBA-MIRIM;3506607;6;29.650;2;28573;5;28.876;12;29.168;6;30.492;10;30.830;8;31.158;16;31.479;10; 31.793 ;8;32.251;83
BOA ESPERANÇA DO SUL;3506706;3;13.953;3;13658;1;13.727;7;13.807;2;14.356;3;14.452;3;14.546;2;14.638;7; 14.727 ;7;14.824;38
BOCAINA;3506805;-;11.028;2;10862;2;10.968;-;11.073;6;11.568;3;11.691;2;11.810;2;11.926;2; 12.040 ;3;12.204;22
BOFETE;3506904;5;9.375;2;9282;2;9.792;2;9.960;3;10.504;2;10.694;5;10.879;3;11.059;2; 11.236 ;3;11.534;29
BOITUVA;3507001;7;44.906;10;48323;17;49.384;7;50.420;10;53.431;13;54.594;7;55.725;11;56.830;13; 57.910 ;6;59.793;101
BOM JESUS DOS PERDÕES;3507100;2;17.993;4;19703;3;20.199;2;20.674;3;21.976;10;22.508;5;23.025;2;23.530;3; 24.023 ;2;24.898;36
BOM SUCESSO DE ITARARÉ;3507159;1;3.968;2;3571;-;3.597;-;3.623;-;3.772;-;3.802;-;3.831;-;3.860;1; 3.888 ;-;3.923;4
BORÁ;3507209;-;837;1;805;-;806;-;807;-;834;-;835;-;836;-;838;-; 839 ;-;836;1
BORACÉIA;3507308;;4.439;;4268;;4.309;;4.348;;4.540;;4.586;;4.631;;4.675;; 4.717 ;;4.776;
BORBOREMA;3507407;2;14.485;1;14532;1;14.632;1;14.731;2;15.335;2;15.454;4;15.569;1;15.681;1; 15.791 ;1;15.925;16
BOREBI;3507456;-;2.349;1;2295;1;2.321;-;2.348;1;2.458;-;2.489;-;2.519;-;2.548;-; 2.577 ;1;2.621;4
BOTUCATU;3507506;14;130.348;36;127370;35;128.788;36;130.201;38;136.269;36;137.899;26;139.483;29;141.032;43; 142.546 ;42;144.820;335
BRAGANÇA PAULISTA;3507605;42;145.894;27;146663;41;148.411;38;150.023;41;156.995;50;158.856;50;160.665;51;162.435;38; 164.163 ;58;166.753;436
BRAÚNA;3507704;-;5.043;2;5021;1;5.070;1;5.118;-;5.345;1;5.400;1;5.454;-;5.506;-; 5.557 ;1;5.630;7
BREJO ALEGRE;3507753;-;2.573;-;2573;1;2.593;-;2.614;-;2.723;2;2.746;-;2.768;2;2.790;1; 2.812 ;-;2.841;6
BRODÓSQUI;3507803;2;20.485;3;21105;4;21.412;5;21.707;5;22.797;3;23.134;3;23.460;5;23.780;4; 24.092 ;6;24.592;40
BROTAS;3507902;3;22.631;3;21580;1;21.787;3;21.987;2;22.959;2;23.192;2;23.419;6;23.641;3; 23.858 ;4;24.163;29
BURI;3508009;2;18.146;5;18566;4;18.635;3;18.705;5;19.395;5;19.484;2;19.570;6;19.655;1; 19.737 ;4;19.789;37
BURITAMA;3508108;1;15.636;2;15418;2;15.538;4;15.655;1;16.312;5;16.449;4;16.583;6;16.714;4; 16.841 ;4;17.003;33
BURITIZAL;3508207;-;4.096;-;4055;-;4.082;-;4.111;-;4.279;-;4.313;-;4.345;-;4.377;-; 4.408 ;1;4.447;1
CABRÁLIA PAULISTA;3508306;4;4.369;1;4365;-;4.343;-;4.322;-;4.430;-;4.410;1;4.390;-;4.371;1; 4.352 ;-;4.286;7
CABREÚVA;3508405;14;42.700;7;41643;10;42.257;14;42.889;11;45.112;13;45.830;11;46.528;12;47.210;12; 47.877 ;18;48.966;122
CAÇAPAVA;3508504;28;85.181;33;84844;42;85.414;29;86.054;36;89.668;24;90.426;36;91.162;21;91.883;19; 92.587 ;26;93.488;294
CACHOEIRA PAULISTA;3508603;6;34.666;3;30099;9;30.313;16;30.527;10;31.791;7;32.046;7;32.294;6;32.536;1; 32.773 ;5;33.067;70
CACONDE;3508702;3;19.304;4;18536;2;18.550;1;18.563;-;18.926;1;18.952;4;18.976;3;19.001;3; 19.025 ;2;18.961;23
CAFELÂNDIA;3508801;2;16.778;-;16612;6;16.669;2;16.730;1;17.346;1;17.424;2;17.499;1;17.573;1; 17.645 ;2;17.689;18
CAIABU;3508900;-;4.131;-;4072;1;4.072;1;4.072;-;4.201;-;4.204;-;4.206;1;4.208;-; 4.211 ;-;4.190;3
CAIEIRAS;3509007;23;88.212;20;86623;28;87.704;28;88.841;18;93.215;28;94.516;27;95.780;34;97.016;34; 98.223 ;27;100.129;267
CAIUÁ;3509106;8;5.447;4;5039;8;5.104;1;5.167;3;5.418;8;5.490;6;5.560;7;5.628;6; 5.695 ;11;5.800;62
CAJAMAR;3509205;15;63.675;17;64113;29;65.139;31;66.131;33;69.584;15;70.710;17;71.805;18;72.875;23; 73.921 ;14;75.638;212
CAJATI;3509254;15;28.936;12;28371;13;28.306;3;28.243;8;29.059;11;29.010;10;28.962;15;28.916;24; 28.870 ;17;28.605;128
CAJOBI;3509304;-;10.009;1;9759;2;9.814;-;9.858;1;10.232;2;10.287;-;10.341;-;10.393;1; 10.444 ;-;10.486;7
CAJURU;3509403;-;24.313;3;23378;1;23.570;-;23.763;-;24.783;-;25.009;1;25.230;7;25.445;6; 25.655 ;1;25.935;19
CAMPINA DO MONTE ALEGRE;3509452;3;5.560;-;5567;3;5.594;-;5.622;3;5.836;-;5.869;-;5.901;1;5.932;-; 5.963 ;-;5.991;10
CAMPINAS;3509502;395;1.064.669;352;1080999;347;1.088.611;412;1.098.630;371;1.144.862;429;1.154.617;425;1.164.098;395;1.173.370;444; 1.182.429 ;483;1.194.094;4053
CAMPO LIMPO PAULISTA;3509601;27;74.863;26;74114;18;74.868;15;75.637;12;79.091;20;79.982;16;80.847;14;81.693;22; 82.520 ;23;83.735;193
CAMPOS DO JORDÃO;3509700;6;46.505;7;47824;10;48.060;11;48.324;7;50.221;7;50.541;8;50.852;7;51.157;5; 51.454 ;8;51.763;76
CAMPOS NOVOS PAULISTA;3509809;-;5.014;-;4539;2;4.566;1;4.594;-;4.776;1;4.808;1;4.839;1;4.870;1; 4.900 ;1;4.932;8
CANANÉIA;3509908;7;12.374;14;12226;11;12.220;9;12.216;6;12.598;16;12.601;13;12.604;6;12.606;14; 12.609 ;14;12.539;110
CANAS;3509957;-;4.765;-;4387;1;4.444;-;4.502;-;4.722;-;4.788;1;4.852;-;4.914;1; 4.975 ;1;5.071;4
CÂNDIDO MOTA;3510005;9;30.776;2;29911;5;29.930;8;29.976;5;30.993;9;31.063;7;31.131;4;31.198;4; 31.263 ;3;31.212;56
CÂNDIDO RODRIGUES;3510104;-;2.770;-;2668;1;2.672;-;2.677;1;2.767;-;2.773;1;2.780;-;2.786;-; 2.792 ;-;2.787;3
CANITAR;3510153;3;4.743;4;4369;3;4.437;-;4.504;3;4.737;1;4.812;-;4.884;1;4.956;3; 5.025 ;1;5.139;19
CAPÃO BONITO;3510203;13;46.338;11;46178;11;46.135;15;46.095;14;47.510;14;47.498;15;47.486;14;47.475;7; 47.463 ;14;47.159;128
CAPELA DO ALTO;3510302;3;17.232;3;17533;5;17.784;4;18.029;18;18.933;28;19.212;42;19.482;32;19.747;41; 20.005 ;32;20.419;208
CAPIVARI;3510401;18;46.331;18;48573;11;49.122;11;49.650;13;51.949;9;52.559;13;53.152;26;53.731;13; 54.298 ;13;55.141;145
CARAGUATATUBA;3510500;68;96.125;84;100899;81;102.522;63;104.150;64;109.678;84;111.524;97;113.317;97;115.071;122; 116.786 ;111;119.625;871
CARAPICUÍBA;3510609;196;392.701;174;369908;198;371.502;182;373.358;186;387.788;207;390.073;207;392.294;198;394.465;254; 396.587 ;252;398.611;2054
CARDOSO;3510708;3;11.624;1;11798;3;11.820;4;11.836;5;12.233;3;12.257;3;12.281;3;12.305;4; 12.328 ;1;12.303;30
CASA BRANCA;3510807;36;28.189;30;28312;29;28.423;21;28.535;34;29.597;24;29.739;25;29.877;19;30.012;22; 30.144 ;16;30.237;256
CÁSSIA DOS COQUEIROS;3510906;-;2.737;-;2627;1;2.616;-;2.599;-;2.657;1;2.640;2;2.623;-;2.607;-; 2.591 ;1;2.542;5
CASTILHO;3511003;2;16.165;2;18006;1;18.237;2;18.465;3;19.360;9;19.620;9;19.873;5;20.120;5; 20.362 ;3;20.738;41
CATANDUVA;3511102;21;114.812;25;112843;23;113.355;18;113.873;24;118.209;21;118.853;20;119.480;21;120.092;18; 120.691 ;18;121.210;209
CATIGUÁ;3511201;1;7.250;3;7127;-;7.171;-;7.214;-;7.502;-;7.553;-;7.603;-;7.652;1; 7.700 ;2;7.752;7
CEDRAL;3511300;-;8.258;2;7968;1;8.070;1;8.165;3;8.553;-;8.662;-;8.767;2;8.870;2; 8.971 ;2;9.125;13
CERQUEIRA CÉSAR;3511409;2;17.337;2;17532;2;17.715;10;17.893;19;18.703;10;18.909;30;19.109;38;19.304;60; 19.495 ;22;19.774;195
CERQUILHO;3511508;8;38.199;8;39649;8;40.393;6;41.144;4;43.473;10;44.320;2;45.142;5;45.947;9; 46.733 ;5;48.074;65
CESÁRIO LANGE;3511607;1;14.979;7;15547;1;15.744;6;15.942;3;16.717;6;16.943;4;17.163;4;17.378;5; 17.587 ;3;17.915;40
CHARQUEADA;3511706;2;15.423;-;15086;2;15.242;3;15.395;6;16.092;1;16.268;1;16.440;2;16.608;4; 16.772 ;5;17.009;26
CHAVANTES;3557204;2;12.688;4;12114;1;12.108;4;12.102;2;12.480;1;12.482;2;12.484;3;12.486;2; 12.487 ;2;12.418;23
CLEMENTINA;3511904;1;6.582;-;7064;2;7.192;-;7.316;2;7.717;-;7.856;-;7.992;-;8.124;1; 8.254 ;1;8.472;7
COLINA;3512001;4;17.745;11;17373;7;17.425;-;17.478;2;18.107;3;18.177;3;18.245;3;18.311;4; 18.376 ;9;18.398;46
COLÔMBIA;3512100;-;6.345;-;5994;-;5.997;-;6.001;3;6.196;2;6.203;-;6.211;-;6.218;-; 6.225 ;2;6.203;7
CONCHAL;3512209;16;24.485;16;25242;7;25.425;7;25.615;6;26.689;7;26.914;10;27.132;2;27.345;8; 27.554 ;6;27.820;85
CONCHAS;3512308;7;16.274;6;16302;10;16.394;9;16.497;10;17.162;11;17.286;4;17.406;2;17.523;8; 17.638 ;4;17.770;71
