Município;;2009;Pop.;2010;Pop.;2011;Pop.;2012;Pop.;2013;Pop.;2014;Pop.;2015;Pop.;2016;Pop.;2017;Pop.;2018;Pop.;Total
ESTRELA D'OESTE;3515202;2;2.474;-;8208;-;8.204;3;8.201;-;8.458;1;8.460;2;8.462;-;8.464;1; 8.466 ;2;2.762;11
EUCLÍDES DA CUNHA PAULISTA;3515350;2;10.168;2;9585;7;9.537;1;9.491;3;9.729;-;9.685;-;9.642;1;9.600;1; 9.559 ;2;9.419;19
FARTURA;3515400;3;14.969;4;15324;4;15.344;9;15.367;2;15.889;3;15.925;2;15.960;3;15.994;3; 16.028 ;6;16.001;39
FERNANDO PRESTES;3515608;-;5.312;-;5534;1;5.542;1;5.550;-;5.736;-;5.748;-;5.760;-;5.771;3; 68.670 ;1;68.823;6
FERNANDÓPOLIS;3515509;17;63.539;17;64707;13;64.930;10;65.157;20;67.543;26;67.836;18;68.120;14;68.399;11; 5.782 ;17;5.771;163
FERNÃO;3515657;-;1.521;1;1563;-;1.573;-;1.583;-;1.646;2;1.658;-;1.669;-;1.680;2; 1.691 ;-;1.704;5
FERRAZ DE VASCONCELOS;3515707;111;179.231;90;168290;84;170.296;82;172.222;100;180.326;84;182.544;111;184.700;71;186.808;83; 188.868 ;104;191.993;920
FLORA RICA;3515806;-;2.029;-;1752;-;1.719;-;1.688;-;1.699;1;1.666;-;1.634;-;1.602;-; 1.571 ;-;1.499;1
FLOREAL;3515905;1;2.884;-;3003;-;2.986;2;2.970;-;3.042;-;3.027;-;3.011;-;2.996;1; 2.982 ;-;2.934;4
FLÓRIDA PAULISTA;3516002;25;13.761;19;12849;14;12.982;23;13.112;42;13.704;53;13.854;29;14.000;35;14.143;36; 14.282 ;35;14.486;311
FLORÍNIA;3516101;-;2.856;2;2829;5;2.806;-;2.785;-;2.843;1;2.821;1;2.799;1;2.778;19; 2.758 ;25;2.699;54
FRANCA;3516200;55;330.938;60;318785;82;321.012;69;323.307;77;336.734;65;339.461;72;342.112;53;344.704;77; 347.237 ;63;350.400;673
FRANCISCO MORATO;3516309;75;157.294;61;154538;73;156.063;44;157.603;56;164.718;70;166.505;66;168.243;47;169.942;85; 171.602 ;73;174.008;650
FRANCO DA ROCHA;3516408;107;131.366;83;131603;87;133.406;131;135.150;109;141.824;128;143.817;169;145.755;149;147.650;195; 149.502 ;161;152.433;1319
GABRIEL MONTEIRO;3516507;-;2.698;-;2705;1;2.707;-;2.706;-;2.790;-;2.790;-;2.790;-;2.791;3; 2.791 ;-;2.776;4
GÁLIA;3516606;2;6.635;1;7011;1;6.946;2;6.884;1;7.019;2;6.956;-;6.894;1;6.834;2; 6.776 ;2;6.615;14
GARÇA;3516705;9;43.380;9;43124;16;43.111;9;43.108;14;44.479;9;44.506;10;44.532;11;44.557;7; 44.582 ;6;44.370;100
GASTÃO VIDIGAL;3516804;-;4.118;4;4193;2;4.240;2;4.285;1;4.482;-;4.534;1;4.585;-;4.634;1; 4.683 ;-;4.754;11
GAVIÃO PEIXOTO;3516853;1;4.244;1;4420;-;4.441;-;4.464;-;4.635;2;4.662;-;4.688;1;4.714;-; 4.739 ;-;4.762;5
GENERAL SALGADO;3516903;1;10.934;2;10674;4;10.657;2;10.646;-;10.970;-;10.966;-;10.961;1;10.956;-; 10.951 ;1;10.876;11
GETULINA;3517000;37;10.960;34;10777;25;10.795;28;10.825;20;11.209;27;11.249;30;11.287;30;11.325;42; 11.362 ;43;11.370;316
GLICÉRIO;3517109;1;4.547;-;4577;1;4.576;1;4.586;-;4.745;-;4.759;1;4.773;-;4.787;1; 4.800 ;-;4.801;5
GUAIÇARA;3517208;-;11.206;-;10671;2;10.782;1;10.891;2;11.385;1;11.511;4;11.633;2;11.752;6; 11.869 ;2;12.039;20
GUAIMBÊ;3517307;1;4.740;1;5425;-;5.442;-;5.458;4;5.654;3;5.676;2;5.696;1;5.717;-; 5.737 ;4;5.743;16
GUAÍRA;3517406;14;38.676;7;37412;6;37.618;7;37.826;11;39.314;7;39.567;6;39.813;6;40.053;6; 40.287 ;6;40.533;76
GUAPIAÇU;3517505;3;17.938;5;17885;4;18.159;3;18.441;1;19.409;3;19.728;5;20.037;1;20.340;1; 20.637 ;2;21.125;28
GUAPIARA;3517604;3;20.927;2;17988;5;17.865;1;17.738;3;18.129;2;18.002;3;17.879;3;17.758;2; 17.640 ;2;17.293;26
GUARÁ;3517703;5;19.168;8;19864;5;19.930;4;20.001;4;20.733;3;20.823;-;20.911;1;20.997;11; 21.081 ;5;21.129;46
GUARAÇAÍ;3517802;2;8.657;-;8435;5;8.400;2;8.366;-;8.586;2;8.555;-;8.525;2;8.495;3; 8.466 ;3;8.357;19
GUARACI;3517901;3;9.459;2;9976;5;10.063;3;10.147;6;10.584;7;10.683;1;10.778;1;10.872;5; 10.964 ;7;11.088;40
GUARANI D'OESTE;3518008;-;2.017;-;1969;-;1.967;-;1.965;-;2.023;1;2.021;-;2.020;-;2.018;1; 2.017 ;-;2.002;2
GUARANTÃ;3518107;3;6.680;1;6400;1;6.410;-;6.417;1;6.629;4;6.640;2;6.651;-;6.662;1; 6.672 ;1;6.654;14
GUARARAPES;3518206;7;29.639;4;30600;6;30.732;2;30.862;1;32.023;7;32.187;5;32.346;6;32.502;7; 32.654 ;2;32.774;47
GUARAREMA;3518305;-;26.974;5;25861;3;26.146;4;26.439;1;27.679;3;28.016;6;28.344;5;28.664;4; 28.978 ;5;29.451;36
GUARATINGUETÁ;3518404;32;113.357;25;112091;42;112.675;42;113.258;40;117.663;37;118.378;32;119.073;34;119.753;39; 120.417 ;32;121.073;355
GUAREÍ;3518503;14;14.918;24;14568;25;14.900;24;15.225;34;16.149;42;16.513;49;16.867;51;17.213;50; 17.551 ;43;18.143;356
GUARIBA;3518602;7;34.508;3;35491;2;35.824;2;36.151;5;37.747;26;38.128;6;38.499;3;38.861;3; 39.216 ;5;39.714;62
GUARUJÁ;3518701;234;308.058;266;290607;317;292.743;275;294.669;279;306.683;305;308.989;322;311.230;298;313.421;327; 315.563 ;382;318.107;3005
GUARULHOS;3518800;481;1.299.283;498;1222357;524;1.233.436;506;1.244.518;622;1.299.249;597;1.312.197;618;1.324.781;580;1.337.087;562; 1.349.113 ;672;1.365.899;5660
GUATAPARÁ;3518859;-;6.382;-;6966;-;7.012;1;7.056;-;7.341;1;7.394;-;7.446;1;7.496;2; 7.546 ;2;7.602;7
GUZOLÂNDIA;3518909;-;4.917;-;4754;1;4.789;1;4.824;2;5.023;1;5.064;2;5.103;1;5.142;1; 5.179 ;1;5.226;10
HERCULÂNDIA;3519006;1;9.125;2;8696;-;8.750;-;8.803;-;9.154;1;9.217;1;9.278;1;9.338;-; 9.397 ;-;9.462;6
HOLAMBRA;3519055;1;10.224;2;11292;1;11.613;4;11.917;5;12.707;2;13.046;1;13.375;2;13.698;1; 14.012 ;2;14.579;21
HORTOLÂNDIA;3519071;87;205.856;81;192225;74;195.775;111;198.758;120;209.139;106;212.527;133;215.819;115;219.039;135; 222.186 ;131;227.353;1093
IACANGA;3519105;-;9.732;-;10010;3;10.146;2;10.275;-;10.776;1;10.923;5;11.066;-;11.206;3; 11.343 ;1;11.559;15
IACRI;3519204;1;6.879;-;6419;-;6.391;1;6.365;-;6.530;2;6.505;-;6.481;1;6.457;-; 6.434 ;-;6.348;5
IARAS;3519253;11;5.658;9;6377;3;6.631;9;6.878;12;7.431;23;7.704;10;7.970;7;8.230;4; 8.484 ;13;8.956;101
IBATÉ;3519303;4;29.714;3;30724;9;31.062;2;31.380;5;32.810;9;33.178;6;33.535;7;33.884;7; 34.226 ;11;34.726;63
IBIRÁ;3519402;3;11.141;3;10868;1;11.007;2;11.115;1;11.615;2;11.740;-;11.861;1;11.980;4; 12.096 ;1;12.264;18
IBIRAREMA;3519501;-;7.235;1;6725;2;6.804;1;6.880;6;7.203;2;7.290;-;7.376;1;7.459;4; 7.540 ;1;7.663;18
IBITINGA;3519600;13;53.148;28;53166;20;53.660;13;54.146;16;56.531;13;57.098;16;57.649;21;58.188;17; 58.715 ;16;59.451;173
IBIÚNA;3519709;9;67.392;19;71228;18;71.741;16;72.249;14;75.241;9;75.845;16;76.432;15;77.005;20; 77.566 ;20;78.262;156
ICÉM;3519808;2;6.524;3;7462;-;7.515;1;7.567;1;7.877;1;7.938;-;7.997;3;8.055;7; 8.112 ;12;8.181;30
IEPÊ;3519907;1;7.856;6;7627;-;7.656;1;7.685;1;7.966;2;8.002;5;8.036;4;8.070;4; 8.103 ;1;8.124;25
IGARAÇU DO TIETÊ;3520004;4;24.124;5;23370;11;23.419;6;23.475;3;24.299;11;24.376;10;24.451;9;24.525;12; 24.596 ;13;24.598;84
IGARAPAVA;3520103;3;28.230;4;27960;8;28.108;6;28.259;11;29.365;15;29.549;7;29.727;2;29.902;4; 30.073 ;9;30.246;69
IGARATÁ;3520202;4;8.950;1;8825;2;8.872;1;8.913;1;9.251;1;9.301;3;9.349;1;9.397;1; 9.443 ;-;9.483;15
IGUAPE;3520301;20;30.675;19;28844;15;28.950;14;29.055;16;30.124;17;30.259;27;30.390;16;30.519;20; 30.644 ;24;30.721;188
ILHA COMPRIDA;3520426;3;10.090;5;9027;7;9.203;6;9.376;10;9.908;4;10.102;5;10.291;4;32.782;4; 33.354 ;4;34.333;52
ILHA SOLTEIRA;3520442;7;25.144;1;25071;-;25.146;3;25.226;2;26.138;-;26.242;2;26.344;1;10.476;4; 10.656 ;5;10.965;25
ILHABELA;3520400;14;26.011;13;28176;12;28.761;11;29.308;11;30.983;12;31.599;10;32.197;6;26.443;8; 26.540 ;9;26.582;106
INDAIATUBA;3520509;51;183.803;35;201848;58;205.808;39;209.859;54;222.042;35;226.602;39;231.033;35;235.367;53; 239.602 ;58;246.908;457
INDIANA;3520608;-;4.751;-;4828;-;4.817;2;4.809;1;4.951;-;4.946;-;4.941;1;4.936;3; 4.931 ;1;4.892;8
INDIAPORÃ;3520707;1;3.949;1;3906;-;3.891;1;3.880;-;3.988;1;3.978;2;3.969;1;3.960;1; 3.951 ;-;3.908;8
INÚBIA PAULISTA;3520806;-;3.841;-;3630;-;3.654;1;3.678;-;3.826;-;3.854;-;3.881;2;3.907;-; 3.933 ;-;3.963;3
IPAUÇU;3520905;1;13.608;3;13746;2;13.748;1;13.831;1;14.383;3;14.483;4;14.579;2;14.674;8; 14.766 ;3;14.869;28
IPERÓ;3521002;29;27.526;23;28301;32;29.061;43;29.798;23;31.745;44;32.568;53;33.367;44;34.149;56; 34.913 ;26;36.280;373
IPEÚNA;3521101;-;5.691;1;6016;-;6.145;2;6.270;-;6.638;2;6.778;1;6.914;-;7.047;1; 7.177 ;3;7.401;10
IPIGUÁ;3521150;-;4.253;-;4459;-;4.539;-;4.613;3;4.858;4;4.941;-;5.022;1;5.101;1; 5.178 ;2;5.306;11
IPORANGA;3521200;-;4.789;-;4302;3;4.279;-;4.260;1;4.369;-;4.351;1;4.333;-;4.316;-; 4.299 ;2;4.238;7
IPUÃ;3521309;1;15.883;6;14146;-;14.323;-;14.492;3;15.184;2;15.378;4;15.567;2;15.752;5; 15.932 ;2;16.209;25
IRACEMÁPOLIS;3521408;4;19.700;6;20047;4;20.372;8;20.705;-;21.815;2;22.191;6;22.557;2;22.914;6; 23.264 ;3;23.846;41
IRAPUÃ;3521507;-;6.978;1;7284;-;7.322;-;7.369;1;7.666;-;7.721;2;7.774;1;7.827;1; 7.878 ;-;7.937;6
IRAPURU;3521606;13;7.874;16;7787;15;7.814;23;7.840;37;8.123;32;8.155;43;8.187;29;8.217;33; 8.248 ;39;8.261;280
ITABERÁ;3521705;3;17.674;2;17861;1;17.777;4;17.699;4;18.158;1;18.086;2;18.015;-;17.946;-; 17.879 ;-;17.635;17
ITAÍ;3521804;8;24.093;8;24015;6;24.236;5;24.457;6;25.535;11;25.792;9;26.042;5;26.287;9; 26.526 ;11;26.861;78
ITAJOBI;3521903;2;14.683;-;14553;1;14.581;1;14.606;-;15.104;1;15.141;2;15.177;-;15.212;2; 15.246 ;5;15.226;14
ITAJU;3522000;-;2.714;1;3263;-;3.293;1;3.338;-;3.505;1;3.556;-;3.606;-;3.655;-; 3.703 ;1;3.782;4
ITANHAÉM;3522109;64;87.338;81;87053;99;88.213;120;89.332;90;93.696;123;94.977;128;96.222;115;97.439;115; 98.629 ;109;100.496;1044
ITAÓCA;3522158;2;3.143;1;3228;2;3.228;-;3.229;1;3.332;-;3.334;-;3.337;-;3.339;1; 3.341 ;-;3.326;7
ITAPECERICA DA SERRA;3522208;87;161.983;72;152380;70;154.374;75;156.077;74;163.363;86;165.327;100;167.236;83;169.103;95; 170.927 ;95;173.672;837
ITAPETININGA;3522307;57;148.808;58;144416;40;145.821;50;147.219;51;153.810;77;155.436;70;157.016;79;158.561;85; 160.070 ;90;162.231;657
ITAPEVA;3522406;11;89.768;32;87765;12;88.128;22;88.491;20;91.807;29;92.265;28;92.710;27;93.145;42; 93.570 ;32;93.892;255
ITAPEVI;3522505;118;205.881;130;200874;131;203.712;120;206.558;115;217.005;135;220.250;120;223.404;106;226.488;129; 229.502 ;121;234.352;1225
ITAPIRA;3522604;20;72.657;21;68365;34;68.933;27;69.317;23;72.048;13;72.514;19;72.967;23;73.410;11; 73.844 ;20;74.299;211
ITAPIRAPUÃ PAULISTA;3522653;1;3.919;1;3884;-;3.903;-;3.926;-;4.081;1;4.109;-;4.135;-;4.161;1; 4.186 ;-;4.213;4
ITÁPOLIS;3522703;5;40.411;5;40064;3;40.228;6;40.399;2;41.920;2;42.135;2;42.343;8;42.547;4; 42.747 ;10;42.903;47
ITAPORANGA;3522802;3;14.780;7;14546;2;14.564;4;14.579;3;15.064;6;15.090;-;15.115;3;15.140;4; 15.165 ;9;15.125;41
ITAPUÍ;3522901;3;12.536;6;12181;1;12.311;8;12.446;1;13.023;2;13.178;2;13.328;3;13.475;2; 13.618 ;1;13.833;29
ITAPURA;3523008;2;3.941;1;4360;2;4.397;1;4.436;-;4.629;1;4.674;1;4.717;2;4.760;-; 4.802 ;2;4.860;12
ITAQUAQUECETUBA;3523107;141;359.253;133;321854;130;325.518;132;329.144;121;344.558;105;348.739;109;352.801;127;356.774;137; 360.657 ;136;366.519;1271
ITARARÉ;3523206;8;51.412;10;47939;9;48.040;16;48.143;6;49.818;14;49.963;4;50.105;9;50.243;12; 50.379 ;8;50.360;96
ITARIRI;3523305;4;16.284;7;15471;6;15.614;7;15.752;14;16.441;7;16.602;5;16.759;12;16.913;12; 17.062 ;9;17.271;83
ITATIBA;3523404;27;99.047;25;101450;20;103.027;21;104.533;24;109.907;14;111.620;28;113.284;28;114.912;37; 116.503 ;37;119.090;261
ITATINGA;3523503;2;19.085;4;18052;2;18.252;4;18.446;1;19.297;3;19.520;4;19.738;5;19.951;2; 20.158 ;9;20.467;36
ITIRAPINA;3523602;24;14.829;24;15528;26;15.730;41;15.930;37;16.709;22;16.938;34;17.160;23;17.377;24; 17.589 ;24;17.922;279
ITIRAPUÃ;3523701;1;5.903;1;5914;-;5.953;-;5.990;-;6.232;-;6.277;-;6.321;-;6.363;-; 6.405 ;-;6.453;2
ITOBI;3523800;1;7.708;-;7545;1;7.552;-;7.559;-;7.807;-;7.819;2;7.831;3;7.842;-; 7.853 ;2;7.830;9
ITU;3523909;40;157.384;54;154200;61;155.589;35;156.983;52;163.882;48;165.511;57;167.095;47;168.643;42; 170.157 ;60;172.268;496
ITUPEVA;3524006;10;42.458;6;44825;12;46.294;11;47.682;13;51.082;7;52.627;9;54.128;8;55.596;11; 57.031 ;9;59.649;96
ITUVERAVA;3524105;4;40.882;9;38699;15;38.881;13;39.062;9;40.552;7;40.776;6;40.994;11;41.206;10; 41.414 ;8;41.598;92
JABORANDI;3524204;-;6.715;-;6592;-;6.605;-;6.618;1;6.846;1;6.864;2;6.882;-;6.900;4; 6.917 ;1;6.911;9
JABOTICABAL;3524303;19;73.084;11;71667;14;71.989;17;72.305;13;75.041;8;75.436;10;75.820;8;76.196;19; 76.563 ;17;76.864;136
JACAREÍ;3524402;61;212.824;67;211308;79;212.743;58;214.223;66;223.064;77;224.826;73;226.539;64;228.214;56; 229.851 ;64;231.863;665
JACI;3524501;-;5.556;6;5657;3;5.775;4;5.890;-;6.233;3;6.361;1;6.486;1;6.609;2; 6.728 ;-;6.934;20
JACUPIRANGA;3524600;4;16.322;2;17196;9;17.221;4;17.234;6;17.801;5;17.826;8;17.851;6;17.876;5; 17.900 ;4;17.842;53
JAGUARIÚNA;3524709;13;41.107;14;44331;7;45.440;12;46.533;7;49.497;11;50.719;7;51.907;10;53.069;13; 54.204 ;17;56.221;111
JALES;3524808;15;49.996;7;47012;9;47.075;14;47.137;11;48.724;17;48.825;11;48.922;8;49.017;10; 49.110 ;2;49.011;104
JAMBEIRO;3524907;-;5.550;-;5350;1;5.453;-;5.554;1;5.868;-;5.981;-;6.092;-;6.200;-; 6.305 ;1;6.485;3
JANDIRA;3525003;43;112.130;47;108436;43;109.613;37;110.842;44;116.041;30;117.457;48;118.832;45;120.177;41; 121.492 ;50;123.481;428
JARDINÓPOLIS;3525102;7;37.471;9;37725;8;38.193;8;38.708;14;40.640;17;41.228;22;41.799;28;42.358;37; 42.904 ;32;43.774;182
JARINU;3525201;5;22.822;5;23827;4;24.369;3;24.875;3;26.353;8;26.921;7;27.473;15;28.012;16; 28.540 ;12;29.456;78
JAÚ;3525300;29;135.546;25;131068;35;132.493;28;133.900;32;140.077;45;141.703;42;143.283;26;144.828;37; 146.338 ;34;148.581;333
JERIQUARA;3525409;-;3.216;-;3168;-;3.151;-;3.142;1;3.230;1;3.223;-;3.216;-;3.209;-; 3.202 ;-;3.168;2
JOANÓPOLIS;3525508;2;11.169;3;11771;-;11.872;1;11.974;6;12.492;3;12.610;1;12.725;1;12.837;1; 12.947 ;3;13.098;21
JOÃO RAMALHO;3525607;-;4.344;-;4138;1;4.174;1;4.197;-;4.361;1;4.389;-;4.416;-;4.442;-; 4.468 ;-;4.495;3
JOSÉ BONIFÁCIO;3525706;3;32.551;3;32774;5;33.074;6;33.375;11;34.846;10;35.197;10;35.538;7;35.872;2; 36.198 ;8;36.655;65
JÚLIO MESQUITA;3525805;1;4.539;1;4430;1;4.450;-;4.470;-;4.639;1;4.663;4;4.687;1;4.710;1; 4.733 ;3;4.752;13
JUMIRIM;3525854;-;2.290;3;2801;-;2.844;1;2.889;-;3.042;1;3.092;-;3.142;1;3.190;-; 3.237 ;-;3.315;6
JUNDIAÍ;3525904;116;349.929;127;370251;106;373.713;107;377.183;114;393.920;101;397.965;103;401.896;99;405.740;142; 409.497 ;115;414.810;1130
JUNQUEIRÓPOLIS;3526001;19;19.976;19;18726;34;18.858;33;18.986;31;19.765;24;19.918;37;20.066;51;20.211;68; 20.353 ;46;20.524;362
JUQUIÁ;3526100;6;19.585;-;19269;13;19.149;7;19.055;8;19.535;11;19.446;8;19.359;8;19.274;6; 19.192 ;4;18.908;71
JUQUITIBA;3526209;8;29.335;9;28732;8;28.912;8;29.081;11;30.239;12;30.443;14;30.642;8;30.837;14; 31.027 ;14;31.235;106
LAGOINHA;3526308;-;4.909;-;4840;-;4.832;2;4.824;-;4.966;1;4.960;-;4.954;1;4.949;2; 4.943 ;1;4.903;7
LARANJAL PAULISTA;3526407;6;26.296;7;25246;17;25.489;16;25.721;11;26.853;6;27.122;10;27.384;10;27.640;20; 27.890 ;14;28.240;117
LAVÍNIA;3526506;52;9.445;62;8782;80;9.059;71;9.330;79;9.995;91;10.297;87;10.590;97;10.876;138; 11.156 ;95;11.667;852
LAVRINHAS;3526605;1;7.002;2;6586;2;6.635;-;6.678;1;6.950;2;7.002;3;7.052;-;7.102;1; 7.150 ;1;7.207;13
LEME;3526704;34;88.995;32;91804;26;92.600;24;93.417;34;97.505;30;98.460;23;99.388;21;100.296;27; 101.184 ;34;102.412;285
LENÇÓIS PAULISTA;3526803;21;63.314;18;61454;16;61.918;18;62.393;15;65.026;30;65.587;13;66.131;20;66.664;32; 67.185 ;17;67.859;200
LIMEIRA;3526902;68;281.583;79;276010;68;278.093;80;280.096;72;291.748;68;294.128;72;296.440;86;298.701;81; 300.911 ;83;303.682;757
LINDÓIA;3527009;2;5.974;-;6708;1;6.813;2;6.912;2;7.265;2;7.377;-;7.485;2;7.591;-; 7.695 ;-;7.864;11
LINS;3527108;21;73.183;36;71493;30;71.853;13;72.260;23;75.117;15;75.612;28;76.092;22;76.562;18; 77.021 ;33;77.510;239
LORENA;3527207;32;82.770;20;82553;20;82.886;44;83.224;39;86.337;33;86.764;42;87.178;37;87.584;40; 87.980 ;29;88.276;336
LOURDES;3527256;-;2.032;-;2123;-;2.137;-;2.147;-;2.227;-;2.238;1;2.249;-;2.260;-; 2.270 ;-;2.278;1
LOUVEIRA;3527306;9;33.251;4;37153;4;38.140;6;39.122;5;41.700;8;42.796;8;43.862;10;44.904;6; 45.922 ;6;47.748;66
LUCÉLIA;3527405;15;20.284;20;19885;38;20.002;9;20.119;4;20.918;26;21.059;37;21.196;55;21.330;52; 21.461 ;13;21.604;269
LUCIANÓPOLIS;3527504;-;2.443;2;2255;1;2.256;-;2.264;1;2.345;1;2.355;-;2.364;1;2.372;-; 2.381 ;1;2.385;7
LUÍS ANTÔNIO;3527603;1;11.924;4;11286;-;11.603;2;11.910;3;12.704;2;13.046;1;13.378;2;13.703;-; 14.021 ;1;14.592;16
LUIZIÂNIA;3527702;1;5.138;1;5030;1;5.088;1;5.145;2;5.384;-;5.449;1;5.511;-;5.573;-; 5.633 ;-;5.723;7
LUPÉRCIO;3527801;2;4.396;2;4353;-;4.362;-;4.372;-;4.523;-;4.536;1;4.549;1;4.561;2; 4.573 ;-;4.571;8
LUTÉCIA;3527900;1;2.855;-;2703;1;2.700;-;2.687;2;2.754;-;2.741;-;2.729;1;2.717;-; 2.705 ;-;2.663;5
MACATUBA;3528007;5;16.939;5;16246;6;16.298;1;16.336;3;16.909;3;16.961;2;17.013;1;17.063;4; 17.111 ;2;17.111;32
MACAUBAL;3528106;-;7.672;-;7663;-;7.684;-;7.705;-;7.978;-;8.006;1;8.033;1;8.060;1; 8.086 ;-;8.093;3
MACEDÔNIA;3528205;-;3.393;1;3664;-;3.657;-;3.650;-;3.756;-;3.751;1;3.746;1;3.741;1; 3.736 ;-;3.704;4
MAGDA;3528304;-;3.160;3;3200;-;3.183;1;3.167;-;3.246;1;3.230;-;3.215;2;3.200;3; 3.185 ;-;3.136;10
MAIRINQUE;3528403;8;43.658;15;43225;11;43.472;13;43.714;15;45.436;17;45.729;12;46.015;16;46.294;27; 46.567 ;24;46.852;158
MAIRIPORÃ;3528502;7;79.155;24;80920;24;82.556;16;84.104;27;88.883;30;90.627;22;92.323;11;93.981;26; 95.601 ;24;98.374;211
MANDURI;3528601;1;9.123;-;8999;-;9.047;-;9.101;2;9.464;2;9.529;2;9.592;2;9.653;1; 9.714 ;-;9.780;10
MARABÁ PAULISTA;3528700;17;5.996;15;4812;20;4.897;19;4.981;26;5.251;28;5.345;32;5.435;35;5.524;33; 5.611 ;30;5.757;255
MARACAÍ;3528809;2;13.710;3;13344;4;13.357;4;13.382;3;13.842;1;13.878;3;13.913;1;13.948;1; 13.981 ;1;13.967;23
MARAPOAMA;3528858;-;2.780;-;2633;-;2.663;1;2.693;-;2.818;-;2.852;-;2.885;-;2.917;-; 2.949 ;-;2.996;1
MARIÁPOLIS;3528908;-;3.896;1;3916;-;3.921;1;3.926;-;4.057;1;4.064;-;4.072;1;4.079;1; 4.087 ;1;4.077;6
MARÍLIA;3529005;74;225.938;74;216684;100;218.228;66;219.664;80;228.618;73;230.336;75;232.006;112;233.639;83; 235.234 ;91;237.130;828
MARINÓPOLIS;3529104;;2.158;;2113;;2.107;;2.101;;2.160;;2.155;;2.150;;2.145;; 2.140 ;;2.117;
MARTINÓPOLIS;3529203;32;25.533;18;24260;30;24.363;45;24.502;46;25.473;40;25.641;52;25.805;56;25.966;68; 26.123 ;71;26.289;458
MATÃO;3529302;18;78.222;14;76799;19;77.172;12;77.546;23;80.528;12;80.990;19;81.439;6;81.878;12; 82.307 ;15;82.702;150
MAUÁ;3529401;141;417.458;131;417281;164;421.184;180;425.169;174;444.136;208;448.776;176;453.286;174;457.696;187; 462.005 ;200;468.148;1735
MENDONÇA;3529500;2;4.217;1;4640;3;4.708;3;4.774;2;5.014;-;5.089;1;5.161;-;5.232;1; 5.302 ;1;5.413;14
MERIDIANO;3529609;-;3.929;-;3851;-;3.842;-;3.830;1;3.934;-;3.923;1;3.912;1;3.902;1; 3.892 ;-;3.848;4
MESÓPOLIS;3529658;-;1.767;-;1886;-;1.883;3;1.880;1;1.935;-;1.933;3;1.931;1;1.928;3; 1.926 ;-;1.910;11
MIGUELÓPOLIS;3529708;1;21.095;1;20442;2;20.561;-;20.668;4;21.471;5;21.602;-;21.728;6;21.852;6; 21.973 ;3;22.093;28
MINEIROS DO TIETÊ;3529807;1;12.334;1;12042;1;12.086;3;12.133;3;12.583;1;12.642;4;12.700;2;12.757;5; 12.812 ;1;12.849;22
MIRA ESTRELA;3530003;2;2.663;-;2827;-;2.837;-;2.854;1;2.968;1;2.988;1;3.007;-;20.409;-; 20.288 ;1;19.919;6
MIRACATU;3529906;13;23.801;15;20595;14;20.455;13;20.322;8;20.790;9;20.660;9;20.533;10;3.027;10; 3.045 ;10;3.066;111
MIRANDÓPOLIS;3530102;54;26.761;77;27475;52;27.602;78;27.717;57;28.758;75;28.902;65;29.043;79;29.181;95; 29.315 ;86;29.418;718
MIRANTE DO PARANAPANEMA;3530201;-;18.131;2;17064;8;17.124;5;17.187;2;17.820;2;17.901;4;17.979;4;18.056;1; 18.130 ;1;18.178;29
MIRASSOL;3530300;11;54.920;13;53809;10;54.211;11;54.618;21;56.910;11;57.390;13;57.857;12;58.314;11; 58.760 ;13;59.333;126
MIRASSOLÂNDIA;3530409;1;4.396;-;4295;-;4.338;1;4.379;1;4.574;-;4.622;2;4.668;1;4.714;-; 4.758 ;-;4.822;6
MOCOCA;3530508;14;68.718;16;66303;17;66.345;14;66.399;15;68.590;20;68.695;16;68.797;15;68.897;13; 68.994 ;11;68.788;151
MOGI DAS CRUZES;3530607;141;375.268;150;387241;162;392.195;156;396.468;164;414.907;156;419.839;195;424.633;179;429.321;182; 433.901 ;192;440.769;1677
MOGI-GUAÇU;3530706;31;139.836;31;137286;32;138.244;36;139.211;24;144.963;18;146.114;34;147.233;35;148.327;39; 149.396 ;39;150.713;319
MOGI-MIRIM;3530805;26;88.373;18;86244;24;86.892;19;87.266;12;90.558;22;91.027;17;91.483;17;91.929;18; 92.365 ;21;92.715;194
MOMBUCA;3530904;-;3.471;-;3266;-;3.278;1;3.291;1;3.411;-;3.426;1;3.441;4;3.456;2; 3.470 ;2;3.478;11
MONÇÕES;3531001;1;2.129;1;2134;-;2.138;1;2.144;1;2.219;2;2.227;-;2.235;-;2.242;-; 2.249 ;-;2.252;6
MONGAGUÁ;3531100;62;44.087;77;46310;84;47.152;83;47.984;74;50.641;70;51.580;92;52.492;94;53.384;138; 54.257 ;106;55.731;880
MONTE ALEGRE DO SUL;3531209;-;7.473;2;7148;-;7.216;-;7.278;-;7.593;1;7.665;-;7.736;-;7.804;-; 7.871 ;-;7.964;3
MONTE ALTO;3531308;12;45.895;9;46647;12;46.874;12;47.100;19;48.907;11;49.186;8;49.456;11;49.721;11; 49.979 ;15;50.216;120
MONTE APRAZÍVEL;3531407;3;21.015;4;21748;4;22.002;-;22.250;7;23.294;6;23.579;6;23.857;4;24.128;4; 24.393 ;5;24.794;43
MONTE AZUL PAULISTA;3531506;4;19.741;5;18931;1;18.883;2;18.838;6;19.376;4;19.339;3;19.304;6;19.268;2; 19.234 ;3;19.050;36
